Breed,links
Retrievers (Flat-Coated),https://www.akc.org/dog-breeds/flat-coated-retriever/
Afghan Hounds,https://www.akc.org/dog-breeds/afghan-hound/
Fox Terriers (Wire),https://www.akc.org/dog-breeds/wire-fox-terrier/
Retrievers (Nova Scotia Duck Tolling),https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/
Leonbergers,https://www.akc.org/dog-breeds/leonberger/
Borzois,https://www.akc.org/dog-breeds/borzoi/
Parson Russell Terriers,https://www.akc.org/dog-breeds/parson-russell-terrier/
Treeing Walker Coonhounds,https://www.akc.org/dog-breeds/treeing-walker-coonhound/
Russell Terriers,https://www.akc.org/dog-breeds/russell-terrier/
Norwegian Elkhounds,https://www.akc.org/dog-breeds/norwegian-elkhound/
Welsh Terriers,https://www.akc.org/dog-breeds/welsh-terrier/
Setters (Gordon),https://www.akc.org/dog-breeds/gordon-setter/
Tibetan Spaniels,https://www.akc.org/dog-breeds/tibetan-spaniel/
Toy Fox Terriers,https://www.akc.org/dog-breeds/toy-fox-terrier/
Belgian Tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/
Schipperkes,https://www.akc.org/dog-breeds/schipperke/
American Eskimo Dogs,https://www.akc.org/dog-breeds/american-eskimo-dog/
Neapolitan Mastiffs,https://www.akc.org/dog-breeds/neapolitan-mastiff/
Bearded Collies,https://www.akc.org/dog-breeds/bearded-collie/
Black and Tan Coonhounds,https://www.akc.org/dog-breeds/black-and-tan-coonhound/
Pointers,https://www.akc.org/dog-breeds/pointer/
Salukis,https://www.akc.org/dog-breeds/saluki/
Fox Terriers (Smooth),https://www.akc.org/dog-breeds/smooth-fox-terrier/
Spinoni Italiani,https://www.akc.org/dog-breeds/spinone-italiano/
Black Russian Terriers,https://www.akc.org/dog-breeds/black-russian-terrier/
Belgian Sheepdogs,https://www.akc.org/dog-breeds/belgian-sheepdog/
Manchester Terriers,https://www.akc.org/dog-breeds/manchester-terrier-standard/
Spaniels (Boykin),https://www.akc.org/dog-breeds/boykin-spaniel/
Australian Terriers,https://www.akc.org/dog-breeds/australian-terrier/
Irish Terriers,https://www.akc.org/dog-breeds/irish-terrier/
Spaniels (Welsh Springer),https://www.akc.org/dog-breeds/welsh-springer-spaniel/
Miniature Bull Terriers,https://www.akc.org/dog-breeds/miniature-bull-terrier/
Kerry Blue Terriers,https://www.akc.org/dog-breeds/kerry-blue-terrier/
Briards,https://www.akc.org/dog-breeds/briard/
Bluetick Coonhounds,https://www.akc.org/dog-breeds/bluetick-coonhound/
Norfolk Terriers,https://www.akc.org/dog-breeds/norfolk-terrier/
German Pinschers,https://www.akc.org/dog-breeds/german-pinscher/
Spaniels (Clumber),https://www.akc.org/dog-breeds/clumber-spaniel/
Tibetan Mastiffs,https://www.akc.org/dog-breeds/tibetan-mastiff/
Redbone Coonhounds,https://www.akc.org/dog-breeds/redbone-coonhound/
Lakeland Terriers,https://www.akc.org/dog-breeds/lakeland-terrier/
English Toy Spaniels,https://www.akc.org/dog-breeds/english-toy-spaniel/
Pulik,https://www.akc.org/dog-breeds/puli/
Bedlington Terriers,https://www.akc.org/dog-breeds/bedlington-terrier/
Petits Bassets Griffons Vendeens,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/
Xoloitzcuintli,https://www.akc.org/dog-breeds/xoloitzcuintli/
Spaniels (Field),https://www.akc.org/dog-breeds/field-spaniel/
Spaniels (Irish Water),https://www.akc.org/dog-breeds/irish-water-spaniel/
Icelandic Sheepdogs,https://www.akc.org/dog-breeds/icelandic-sheepdog/
Affenpinschers,https://www.akc.org/dog-breeds/affenpinscher/
Spaniels (American Water),https://www.akc.org/dog-breeds/american-water-spaniel/
Setters (Irish Red and White),https://www.akc.org/dog-breeds/irish-red-and-white-setter/
American English Coonhounds,https://www.akc.org/dog-breeds/american-english-coonhound/
Swedish Vallhunds,https://www.akc.org/dog-breeds/swedish-vallhund/
Greyhounds,https://www.akc.org/dog-breeds/greyhound/
Plott Hounds,https://www.akc.org/dog-breeds/plott-hound/
Kuvaszok,https://www.akc.org/dog-breeds/kuvasz/
Ibizan Hounds,https://www.akc.org/dog-breeds/ibizan-hound/
Beaucerons,https://www.akc.org/dog-breeds/beauceron/
Portuguese Podengo Pequenos,https://www.akc.org/dog-breeds/portuguese-podengo/
Lowchen,https://www.akc.org/dog-breeds/lowchen/
Entlebucher Mountain Dogs,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/
Chinooks,https://www.akc.org/dog-breeds/chinook/
Polish Lowland Sheepdogs,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/
Sealyham Terriers,https://www.akc.org/dog-breeds/sealyham-terrier/
Komondorok,https://www.akc.org/dog-breeds/komondor/
Pharaoh Hounds,https://www.akc.org/dog-breeds/pharaoh-hound/
Skye Terriers,https://www.akc.org/dog-breeds/skye-terrier/
Spaniels (Sussex),https://www.akc.org/dog-breeds/sussex-spaniel/
Retrievers (Curly-Coated),https://www.akc.org/dog-breeds/curly-coated-retriever/
Canaan Dogs,https://www.akc.org/dog-breeds/canaan-dog/
Scottish Deerhounds,https://www.akc.org/dog-breeds/scottish-deerhound/
